Type:,Filename:,Part:,Our Vals:,Notes:
FP,CSEMS05382-1,BC548B,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548C,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548C,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548C,65,Digikey parts: {'BC546A': ['80']}
FP,DIODESINCORPORATED_2DA1213Y13,2DA1213O,50,Digikey parts: {'2DA1213Y-13': ['50']}
FP,DIODESINCORPORATED_2DA1213Y13,2DA1213Y,50,Digikey parts: {'2DA1213Y-13': ['50']}
FP,DIODESINCORPORATED_2DA1213Y13,2DA1213Y-13R,50,Digikey parts: {'2DA1213Y-13': ['50']}
FP,DIODESINCORPORATED_2DA1213Y13,AP02001,50,Digikey parts: {'2DA1213Y-13': ['50']}
FP,DIODESINCORPORATED_2DA1213Y13,AP02002,50,Digikey parts: {'2DA1213Y-13': ['50']}
FP,DIODESINCORPORATED_DXT790AP513,AP02001,40,Digikey parts: {'DXT790AP5-13': ['40']}
FP,DIODESINCORPORATED_DXT790AP513,AP02002,40,Digikey parts: {'DXT790AP5-13': ['40']}
FP,DIODESINCORPORATED_DXT790AP513,DXT790A,40,Digikey parts: {'DXT790AP5-13': ['40']}
FP,DIODESINCORPORATED_DXT790AP513,DXT790AP5,40,Digikey parts: {'DXT790AP5-13': ['40']}
FP,DIODESINCORPORATED_FCX491ATA,AP02001,40,Digikey parts: {'FCX491ATA': ['40']}
FP,DIODESINCORPORATED_FCX491ATA,AP02002,40,Digikey parts: {'FCX491ATA': ['40']}
FP,DIODESINCORPORATED_FCX491ATA,FCX491A,40,Digikey parts: {'FCX491ATA': ['40']}
FP,DIODESINCORPORATED_FCX491ATA,FCX491AQTA,40,Digikey parts: {'FCX491ATA': ['40']}
FP,DIODESINCORPORATED_FCX491ATA,FCX591A,40,Digikey parts: {'FCX491ATA': ['40']}
FP,DIODESINCORPORATED_FCX495TC,AP02001,150,Digikey parts: {'FCX495TA': ['150']}
FP,DIODESINCORPORATED_FCX495TC,AP02002,150,Digikey parts: {'FCX495TA': ['150']}
FP,DIODESINCORPORATED_FCX495TC,FCX495,150,Digikey parts: {'FCX495TA': ['150']}
FP,DIODESINCORPORATED_FCX495TC,FCX495-13R,150,Digikey parts: {'FCX495TA': ['150']}
FP,DIODESINCORPORATED_FCX555TA,AP02001,150,Digikey parts: {'FCX555TA': ['180']}
FP,DIODESINCORPORATED_FCX555TA,AP02002,150,Digikey parts: {'FCX555TA': ['180']}
FP,DIODESINCORPORATED_FCX555TA,FCX495,150,Digikey parts: {'FCX555TA': ['180']}
FP,DIODESINCORPORATED_FCX555TA,FCX555,150,Digikey parts: {'FCX555TA': ['180']}
FP,DIODESINCORPORATED_FCX555TA,FCX555TA,150,Digikey vals: ['180']
FP,DIODESINCORPORATED_FCX558TA,AP02001,400,Digikey parts: {'FCX558TA': ['400']}
FP,DIODESINCORPORATED_FCX558TA,AP02002,400,Digikey parts: {'FCX558TA': ['400']}
FP,DIODESINCORPORATED_FCX558TA,FCX458,400,Digikey parts: {'FCX558TA': ['400']}
FP,DIODESINCORPORATED_FCX558TA,FCX558,400,Digikey parts: {'FCX558TA': ['400']}
FP,DIODESINCORPORATED_FCX690BTA,AP02001,45,Digikey parts: {'FCX690BTA': ['45']}
FP,DIODESINCORPORATED_FCX690BTA,AP02002,45,Digikey parts: {'FCX690BTA': ['45']}
FP,DIODESINCORPORATED_FCX690BTA,FCX690B,45,Digikey parts: {'FCX690BTA': ['45']}
FP,DIODESINCORPORATED_FCX690BTA,FCX690B-13R,45,Digikey parts: {'FCX690BTA': ['45']}
FP,DIODESINCORPORATED_FCX690BTA,FCX790A,45,Digikey parts: {'FCX690BTA': ['45']}
FP,DIODESINCORPORATED_FCX705TA,FCX705,120,Digikey parts: {'FCX705TA': ['120']}
FP,DIODESINCORPORATED_FMMT597TC,AP02001,300,Digikey parts: {'FMMT597TA': ['300']}
FP,DIODESINCORPORATED_FMMT597TC,AP02002,300,Digikey parts: {'FMMT597TA': ['300']}
FP,DIODESINCORPORATED_FMMT597TC,FMMT597,300,Digikey parts: {'FMMT597TA': ['300']}
FP,DIODESINCORPORATED_FMMT634QTA,AP02001,100,Digikey parts: {'FMMT634QTA': ['100']}
FP,DIODESINCORPORATED_FMMT634QTA,AP02002,100,Digikey parts: {'FMMT634QTA': ['100']}
FP,DIODESINCORPORATED_FMMT634QTA,CU100M,100,Digikey parts: {'FMMT634QTA': ['100']}
FP,DIODESINCORPORATED_FMMT634QTA,FMMT634Q,100,Digikey parts: {'FMMT634QTA': ['100']}
FP,DIODESINCORPORATED_FZT651TC,AP02001,60,Digikey parts: {'FZT651TC': ['60']}
FP,DIODESINCORPORATED_FZT651TC,AP02002,60,Digikey parts: {'FZT651TC': ['60']}
FP,DIODESINCORPORATED_FZT651TC,FZT651,60,Digikey parts: {'FZT651TC': ['60']}
FP,DIODESINCORPORATED_FZT651TC,FZT751,60,Digikey parts: {'FZT651TC': ['60']}
FP,DIODESINCORPORATED_FZT758TC,AP02001,400,Digikey parts: {'FZT758TA': ['400']}
FP,DIODESINCORPORATED_FZT758TC,AP02002,400,Digikey parts: {'FZT758TA': ['400']}
