Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,STMICROELECTRONICS_LM324AD,175 uA,"Gold vals: [Quantity('800 uA'), Quantity('1.5 mA'), Quantity('700 uA')]",Invalid value.,,Bot
FN,STMICROELECTRONICS_LM2904WHYST,500 uA,Entity vals: [Quantity('700 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_LM2904PT,700 uA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FP,STMICROELECTRONICS_LM2904PT,1.2 mA,Gold vals: [Quantity('700 uA')],Invalid value.,,Bot
FN,STMICROELECTRONICS_LF353DT,1.4 mA,Entity vals: [Quantity('3.2 mA')],Missing value.,,Bot
FP,STMICROELECTRONICS_LF353DT,3.2 mA,Gold vals: [Quantity('1.4 mA')],Invalid value.,,Bot
FN,STMICROELECTRONICS_L2720W13TR,10 mA,Entity vals: [Quantity('15 mA')],Missing value.,,Bot
FP,STMICROELECTRONICS_L2720W13TR,15 mA,Gold vals: [Quantity('10 mA')],Invalid value.,,Bot
FN,SILEGOTECHNOLOGY_SLG88104V,380 nA,Entity vals: [Quantity('400 nA')],Missing value.,,Bot
FN,SILEGOTECHNOLOGY_SLG88104V,1 nA,Entity vals: [Quantity('400 nA')],Missing value.,,Bot
FN,SILEGOTECHNOLOGY_SLG88104V,375 nA,Entity vals: [Quantity('400 nA')],Missing value.,,Bot
FN,RENESASINTERSIL_ISL28430CBZ,20 uA,Entity vals: [Quantity('100 uA')],Missing value.,,Bot
FP,RENESASINTERSIL_ISL28430CBZ,100 uA,Gold vals: [Quantity('20 uA')],Invalid value.,,Bot
FN,RENESASINTERSIL_ISL28194FHZ-T7,330 nA,Entity vals: [Quantity('45 uA')],Missing value.,,Bot
FP,RENESASINTERSIL_ISL28194FHZ-T7,45 uA,Gold vals: [Quantity('330 nA')],Invalid value.,,Bot
FN,RENESASINTERSIL_ISL28191FRUZ-T7,2.6 mA,Entity vals: [Quantity('3.5 mA')],Missing value.,,Bot
FN,RENESASINTERSIL_ISL28191FRUZ-T7,26 uA,Entity vals: [Quantity('3.5 mA')],Missing value.,,Bot
FP,RENESASINTERSIL_ISL28191FRUZ-T7,3.5 mA,"Gold vals: [Quantity('2.6 mA'), Quantity('26 uA')]",Invalid value.,,Bot
FN,RENESASINTERSIL_EL5364IUZ,3.5 mA,Entity vals: [Quantity('4.2 mA')],Missing value.,,Bot
FP,RENESASINTERSIL_EL5364IUZ,4.2 mA,Gold vals: [Quantity('3.5 mA')],Invalid value.,,Bot
FN,ONSEMICONDUCTOR_NCV21911SN2T1G,475 uA,Entities do not have doc ONSEMICONDUCTOR_NCV21911SN2T1G.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_NCS20082DMR2G,42 uA,Entity vals: [Quantity('48 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20072DMR2G,405 uA,Entity vals: [Quantity('465 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20072DMR2G,410 uA,Entity vals: [Quantity('465 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20072DMR2G,480 uA,Entity vals: [Quantity('465 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20072DMR2G,430 uA,Entity vals: [Quantity('465 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20072DMR2G,416 uA,Entity vals: [Quantity('465 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20072DMR2G,420 uA,Entity vals: [Quantity('465 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20071XV53T2G,480 uA,Entity vals: [Quantity('420 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20071XV53T2G,465 uA,Entity vals: [Quantity('420 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20071XV53T2G,416 uA,Entity vals: [Quantity('420 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20071XV53T2G,430 uA,Entity vals: [Quantity('420 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20071XV53T2G,410 uA,Entity vals: [Quantity('420 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_NCS20071XV53T2G,405 uA,Entity vals: [Quantity('420 uA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_MC33274ADTBR2G,2.15 mA,Entity vals: [Quantity('8.6 mA')],Missing value.,,Bot
